source_page,year,pdf_url,local_path,bytes,sha256
Special,2024,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/CCR-2024.pdf,Special/2024/CCR-2024.pdf,249642,99cf9f5c6df278c9505df8b8f3a330dcfa8c26ea1f64d26b85e114271e2f2367
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/2025-06-16-Special-Meeting-Agenda.pdf,Special/2025/2025-06-16-Special-Meeting-Agenda.pdf,104550,38c890f9cf99cd6ef1458c33750accc5b0f20b2c11973acc4056a962fb350120
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/08/June-16-Spec-meeting.pdf,Special/2025/June-16-Spec-meeting.pdf,1197894,6aa3eacb608e9b881b3e75c3efe44b68ce7b99b634b48842fb7daebb49b880e1
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/Special-Meeting-June-23-2025.pdf,Special/2025/Special-Meeting-June-23-2025.pdf,302493,404a3acd4ad9905f15d370bdc76a2a9dc40c1ee4932ac1dde790a429efdac590
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/08/June-23-2025.pdf,Special/2025/June-23-2025.pdf,291268,42a6cf9754d331fe0ee31675ecc0e2c1ba92406d5d44711033c5798faee03592
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/08/Special-7-21-2508072025133248885_0001.pdf,Special/2025/Special-7-21-2508072025133248885_0001.pdf,2223585,f75ac667c61d211fee8ee733330bd718ebafd6965b051956b8a29125b2936b5a
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/08/8-18-Special.pdf,Special/2025/8-18-Special.pdf,131259,e955d35ef2a567894d439deec376fb2774f156a877517f6bcbe58ad17b419585
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/10/8-18-2025-special.pdf,Special/2025/8-18-2025-special.pdf,994051,3b96030fed142abcae212bc87da721e6deacc663c019542aff3c4d3d7bb9bf15
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/12/Special-Council-Meeting-10-20-25.pdf,Special/2025/Special-Council-Meeting-10-20-25.pdf,206426,0237c14474e0366c6fada1ec86937524e20db487a36a4904ea2a33f1477de7bc
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2025/12/Special-Meeting-Nov-17.pdf,Special/2025/Special-Meeting-Nov-17.pdf,341858,eff666673d65906f57ca69470de26dfc692e8968c3625837ea1bdc05d2154e56
Special,2025,http://www.commercialpointohio.gov/wp-content/uploads/2026/02/12-15-2025-special.pdf,Special/2025/12-15-2025-special.pdf,766595,d376cb5c429292237802ed974c3c1180bd8db962b2884a1d38b554cfbb7172af
Special,2016,https://commercialpointohio.gov/CPMiscForms/2016-Annual-Drinking-Water-Quality-Report.pdf,Special/2016/2016-Annual-Drinking-Water-Quality-Report.pdf,913542,8e5bb1c79f3aa8be310d7b0802db77815cc9951ebf064d6cc3bcf4371f3cc98e
Special,2017,https://commercialpointohio.gov/CPMiscForms/2017-VOCP-Water-Quality-Report.pdf,Special/2017/2017-VOCP-Water-Quality-Report.pdf,1012105,b9deee064b700b071d77fe5fc49956576e07d1729f6b0ce81bca4710a8749d35
Special,2018,https://commercialpointohio.gov/CPMiscForms/2018-VOCP-Water-Quality-Report.pdf,Special/2018/2018-VOCP-Water-Quality-Report.pdf,1041684,7e96d4c3817cbfd22a57b8a30f7dd7cacc1e4df3c9e86fa62107501fcbc06542
Special,2019,https://www.commercialpointohio.gov/CPMiscForms/2019.pdf,Special/2019/2019.pdf,1038208,3171deb47367eb83cf4669a863bbf52ef9df2a55ecf1b3544b42242997538a7c
Special,2020,https://www.commercialpointohio.gov/CPMiscForms/CCR2020.pdf,Special/2020/CCR2020.pdf,1642389,ab6d9d02595f3f7619aad56bd6cfab898be4f996e5e79af35e63497b208ca31f
